Rk,Player,Tm,FantPos,Age,G,GS,Cmp,PsAtt,PsYds,PsTD,Int,RsAtt,RsYds,Y/A,RsTD,Tgt,Rec,RcYds,Y/R,RcTD,Fmb,FL,TotTD,2PM,2PP,FantPt,PPR,PosRank,OvRank
1,JonathanTaylor,IND,RB,22,17,17,0,0,0,0,0,332,1811,5.45,18,51,40,360,9.00,2,4,2,20,0,0,333,373.1,1,1
2,CooperKupp,LAR,WR,28,17,17,0,1,0,0,0,4,18,4.50,0,191,145,1947,13.43,16,0,0,16,1,0,295,439.5,1,2
3,DeeboSamuel,SFO,WR,25,16,15,1,2,24,1,0,59,365,6.19,8,121,77,1405,18.25,6,4,2,14,0,0,262,339.0,2,3
4,JoshAllen,BUF,QB,25,17,17,409,646,4407,36,15,122,763,6.25,6,0,0,0,0,0,8,3,6,2,1,403,402.6,1,4
5,AustinEkeler,LAC,RB,26,16,16,0,0,0,0,0,206,911,4.42,12,94,70,647,9.24,8,4,3,20,2,0,274,343.8,2,5
6,JustinHerbert,LAC,QB,23,17,17,443,672,5014,38,15,63,302,4.79,3,0,0,0,0,0,1,1,3,1,5,381,380.8,2,6
7,TomBrady,TAM,QB,44,17,17,485,719,5316,43,12,28,81,2.89,2,0,0,0,0,0,4,3,2,0,0,375,374.7,3,7
8,MarkAndrews,BAL,TE,26,17,9,0,0,0,0,0,1,0,0.00,0,153,107,1361,12.72,9,1,0,9,2,0,194,301.1,1,8
9,JaMarrChase,CIN,WR,21,17,17,0,0,0,0,0,7,21,3.00,0,128,81,1455,17.96,13,2,1,13,0,0,224,304.6,3,9
10,JustinJefferson,MIN,WR,22,17,17,2,4,35,0,0,6,14,2.33,0,167,108,1616,14.96,10,1,1,10,0,0,222,330.4,4,10
11,JoeMixon,CIN,RB,25,16,16,0,0,0,0,0,292,1205,4.13,13,48,42,314,7.48,3,2,1,16,0,0,246,287.9,3,11
12,DavanteAdams,GNB,WR,29,16,16,0,0,0,0,0,0,0,0,0,169,123,1553,12.63,11,0,0,11,0,0,221,344.3,5,12
13,PatrickMahomes,KAN,QB,26,17,17,436,658,4839,37,13,66,381,5.77,2,0,0,0,0,0,9,4,2,1,1,362,361.7,4,13
14,NajeeHarris,PIT,RB,23,17,17,0,0,0,0,0,307,1200,3.91,7,94,74,467,6.31,3,0,0,10,0,0,227,300.7,4,14
15,TravisKelce,KAN,TE,32,16,16,0,0,0,0,0,2,3,1.50,1,134,92,1125,12.23,9,1,1,10,0,0,171,262.8,2,15
16,JamesConner,ARI,RB,26,15,6,0,0,0,0,0,202,752,3.72,15,39,37,375,10.14,3,2,0,18,0,0,221,257.7,5,16
17,MikeEvans,TAM,WR,28,16,16,0,0,0,0,0,1,10,10.00,0,114,74,1035,13.99,14,0,0,14,0,0,189,262.5,6,17
18,AaronRodgers,GNB,QB,38,16,16,366,531,4115,37,4,33,101,3.06,3,1,1,-4,-4.00,0,3,0,3,0,0,332,333.3,5,18
